county,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bay Total,0.02,1.79,31.93,157.29,-146.60,-108.40,-80.91,-129.17,-137.22,-131.05,-25.90,-68.66,-58.99,-103.24,-20.36,-205.28
Alameda,-14.69,1.68,12.91,64.68,-31.80,-19.33,-28.90,-35.56,-42.44,-27.12,-44.42,-19.04,-11.90,-23.82,-10.57,-33.45
Contra Costa,-21.52,-30.58,-14.77,11.85,-27.87,9.36,-28.86,-25.96,-33.40,-13.67,35.13,-6.74,-14.72,-18.86,3.42,-92.65
Marin,12.66,3.59,3.94,2.21,-1.64,-5.92,-3.94,-5.07,8.45,-1.67,3.66,-3.21,1.22,-0.24,-7.80,6.63
San Francisco,28.43,23.23,29.58,39.36,15.05,-37.96,37.69,-4.25,-1.88,-0.85,1.49,-7.15,-11.20,-2.33,1.66,-22.70
San Mateo,3.98,-4.45,-9.73,13.63,-6.58,-9.68,-9.01,-4.90,-15.87,-22.85,2.69,-9.57,-4.47,-12.50,-3.36,-42.56
Santa Clara,-8.68,12.15,11.44,23.78,-61.07,-43.14,-42.33,-44.04,-45.39,-49.02,-21.90,-15.83,-15.35,-45.86,3.37,-15.39
Solano,-0.20,-3.83,-1.47,1.56,-2.40,-1.57,-5.44,-9.22,-6.51,-15.70,-2.51,-7.03,-2.24,0.52,-7.06,-4.88
